citymuni,province,shortregion,longregion,citymuni.class,citymuni.code,citymuni.capital,citymuni.incomeclass,land.area,map.lat,map.lon,registered.voters.2010,population.2010,poverty.2003,poverty.2012,banks.total,banks.headoffice,banks.regbranch,banks.microbranch,banks.totalbranches,banks.extensionoffice,banks.regularobo,banks.microobo,banks.obosubbranch,banks.oboagency,banks.representativeoffice,banks.remittancedeskoffice,banks.limitedpurposebranch,banks.marketingoffice
Aborlan,Palawan,IV - B,Region IV-B (MIMAROPA),municipality,175301000,0,1st,80733,9.433333,118.55,17995,32209,0.5377,0.2235,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Abra De Ilog,Occidental Mindoro,IV - B,Region IV-B (MIMAROPA),municipality,175101000,0,2nd,53370,13.45,120.733333,14446,29225,0.5378,0.3229,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Abucay,Bataan,III,Region III (Central Luzon),municipality,30801000,0,3rd,7972,14.733333,120.533333,24547,37719,0.045,0.0396,3,1,1,0,1,0,1,0,0,0,0,0,0,0
Abulug,Cagayan,II,Region II (Cagayan Valley),municipality,21501000,0,3rd,16260,18.45,121.45,17028,30675,0.239,0.2094,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Abuyog,Leyte,VIII,Region VIII (Eastern Visayas),municipality,83701000,0,1st,68825,10.668751,125.045173,30795,57146,0.3881,0.3593,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Adams,Ilocos Norte,I,Region I (Ilocos Region),municipality,12801000,0,5th,15931,18.466667,120.9,1160,1785,0.4778,0.2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agdangan,Quezon,IV - A,Region IV-A (CALABARZON),municipality,45601000,0,5th,3154,13.866667,121.916667,7773,11567,0.4423,0.2163,2,0,1,0,1,0,0,1,0,0,0,0,0,0
Aglipay,Quirino,II,Region II (Cagayan Valley),municipality,25701000,0,3rd,16170,16.466667,121.65,17373,26187,0.3004,0.1818,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Agno,Pangasinan,I,Region I (Ilocos Region),municipality,15501000,0,3rd,16975,16.116667,119.8,17383,27508,0.4596,0.1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoncillo,Batangas,IV - A,Region IV-A (CALABARZON),municipality,41001000,0,4th,4996,13.933333,120.933333,20792,35794,0.1778,0.1617,3,1,1,0,1,0,0,1,0,0,0,0,0,0
Agoo,La Union,I,Region I (Ilocos Region),municipality,13301000,0,1st,5284,16.325,120.368611,33689,60596,0.2585,0.1298,12,2,8,0,8,0,1,1,0,0,0,0,0,0
Aguilar,Pangasinan,I,Region I (Ilocos Region),municipality,15502000,0,3rd,19507,15.833333,120.2,21944,39529,0.3164,0.1452,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Aguinaldo,Ifugao,CAR,Cordillera Administrative Region (CAR) ,municipality,142708000,0,2nd,53805,16.952911,121.3312882,9341,18610,0.3435,0.5355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agutaya,Palawan,IV - B,Region IV-B (MIMAROPA),municipality,175302000,0,5th,3731,11.15,120.95,5711,11906,0.6668,0.3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajuy,Iloilo,VI,Region VI (Western Visayas) ,municipality,63001000,0,2nd,17557,11.166667,123.016667,28912,47248,0.5027,0.3063,2,0,1,0,1,0,0,1,0,0,0,0,0,0
Akbar,Basilan,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,150708000,0,-,18201,6.65,122.216667,6101,13369,0,0.5392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabat,Quezon,IV - A,Region IV-A (CALABARZON),municipality,45602000,0,5th,5761,14.1031468,122.0137161,8950,16120,0.4117,0.1341,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Alabel ,Sarangani,XII,Region XII (SOCCSKSARGEN),municipality,128001000,1,1st,51098,6.083333,125.283333,41279,75477,0.3698,0.4588,3,1,2,0,2,0,0,0,0,0,0,0,0,0
Alamada,North Cotabato,XII,Region XII (SOCCSKSARGEN),municipality,124701000,0,1st,78750,7.333333,124.566667,27166,56813,0.4078,0.5433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaminos,Laguna,IV - A,Region IV-A (CALABARZON),municipality,43401000,0,3rd,5746,14.063056,121.248056,27235,43526,0.1028,0.0211,6,0,5,0,5,0,0,1,0,0,0,0,0,0
Alangalang,Leyte,VIII,Region VIII (Eastern Visayas),municipality,83702000,0,2nd,15054,11.2,124.85,28778,46411,0.4559,0.4151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Barka,Basilan,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,150709000,0,-,18870,6.466667,122.183333,10215,19523,0,0.5702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuera,Leyte,VIII,Region VIII (Eastern Visayas),municipality,83703000,0,3rd,30335,10.916667,124.7,20731,40553,0.4193,0.3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alburquerque,Bohol,VII,Region VII (Central Visayas),municipality,71201000,0,5th,2698,9.6320989,123.9537069,6189,9921,0.1678,0.1594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcala,Cagayan,II,Region II (Cagayan Valley),municipality,21502000,0,3rd,18720,17.9,121.65,18978,37773,0.2897,0.1888,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Alcala,Pangasinan,I,Region I (Ilocos Region),municipality,15504000,0,3rd,4571,15.847222,120.524167,23867,41077,0.1528,0.1031,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Alcantara,Cebu,VII,Region VII (Central Visayas),municipality,72201000,0,5th,3520,9.976111,123.406111,9405,13556,0.3489,0.3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcantara,Romblon,IV - B,Region IV-B (MIMAROPA),municipality,175901000,0,5th,6012,12.266667,122.05,9029,15428,0.4024,0.3539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcoy,Cebu,VII,Region VII (Central Visayas),municipality,72202000,0,5th,6163,9.683333,123.5,8585,14757,0.3741,0.2453,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Alegria,Cebu,VII,Region VII (Central Visayas),municipality,72203000,0,4th,8949,9.762222,123.384722,13540,22072,0.5311,0.3995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alegria,Surigao Del Norte,CARAGA,Region XIII (Caraga),municipality,166701000,0,5th,6528,9.466667,125.583333,9478,14539,0.5916,0.3825,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Aleosan,North Cotabato,XII,Region XII (SOCCSKSARGEN),municipality,124717000,0,3rd,22544,7.1889378,124.6303372,17036,35746,0.4399,0.5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso,Cavite,IV - A,Region IV-A (CALABARZON),municipality,42101000,0,1st,6658,14.140833,120.853889,30387,48567,0.1602,0.0599,4,1,0,0,0,0,1,2,0,0,0,0,0,0
Alfonso Castaneda,Nueva Viscaya,II,Region II (Cagayan Valley),municipality,25015000,0,1st,37540,15.8,121.3,5277,7428,0.4169,0.3346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Lista (Potia),Ifugao,CAR,Cordillera Administrative Region (CAR) ,municipality,142707000,0,3rd,34746,16.932373,121.5569025,15286,28410,0.3283,0.2151,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Aliaga,Nueva Ecija,III,Region III (Central Luzon),municipality,34901000,0,2nd,9004,15.5,120.843889,38725,57805,0.2258,0.1899,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Alicia,Bohol,VII,Region VII (Central Visayas),municipality,71202000,0,4th,11450,9.9,124.45,13316,22285,0.3977,0.3393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicia,Isabela,II,Region II (Cagayan Valley),municipality,23101000,0,1st,15410,16.783333,121.7,35893,64687,0.226,0.1519,9,1,8,0,8,0,0,0,0,0,0,0,0,0
Alicia,Zamboanga Sibugay,IX,Region IX (Zamboanga Peninsula),municipality,98301000,0,3rd,18308,7.508333,122.941667,23004,34895,0.5626,0.4594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alilem,Ilocos Sur,I,Region I (Ilocos Region),municipality,12901000,0,4th,11933,16.9108142,120.5722244,4212,6640,0.4523,0.2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alimodian,Iloilo,VI,Region VI (Western Visayas) ,municipality,63002000,0,3rd,14482,10.816667,122.433333,20391,37484,0.4019,0.2662,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Alitagtag,Batangas,IV - A,Region IV-A (CALABARZON),municipality,41002000,0,4th,2476,13.866667,121,15716,23649,0.1587,0.0649,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Allacapan,Cagayan,II,Region II (Cagayan Valley),municipality,21503000,0,3rd,30680,18.25,121.583333,17760,31662,0.2658,0.1803,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Allen,Northern Samar,VIII,Region VIII (Eastern Visayas),municipality,84801000,0,5th,4760,12.5033683,124.287538,18123,23738,0.3147,0.3507,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Almagro,Western Samar,VIII,Region VIII (Eastern Visayas),municipality,86001000,0,5th,5136,11.916667,124.283333,10267,11024,0.6476,0.4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almeria,Biliran,VIII,Region VIII (Eastern Visayas),municipality,87801000,0,5th,5746,11.616667,124.383333,9797,16495,0.3453,0.2509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloguinsan,Cebu,VII,Region VII (Central Visayas),municipality,72204000,0,4th,6192,10.216667,123.55,18547,27650,0.311,0.2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloran,Misamis Occidental,X,Region X (Northern Mindanao),municipality,104201000,0,4th,11806,8.4140426,123.8159379,16430,26630,0.4945,0.3958,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Altavas,Aklan,VI,Region VI (Western Visayas) ,municipality,60401000,0,4th,10905,11.533333,122.483333,14806,23919,0.5085,0.1922,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Alubijid,Misamis Oriental,X,Region X (Northern Mindanao),municipality,104301000,0,4th,8556,8.573,124.474,16567,26648,0.5069,0.3543,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Amadeo,Cavite,IV - A,Region IV-A (CALABARZON),municipality,42102000,0,4th,3692,14.1645186,120.9251699,20595,33457,0.0742,0.0187,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ambaguio,Nueva Viscaya,II,Region II (Cagayan Valley),municipality,25001000,0,5th,15626,16.516667,121.016667,4781,13452,0.5095,0.3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amlan (Ayuquitan),Negros Oriental,VII,Region VII (Central Visayas),municipality,74601000,0,4th,11185,9.442887,123.171863,14381,22206,0.2485,0.2031,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ampatuan,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153801000,0,4th,25540,6.7640051,124.3754414,13625,17800,0.3901,0.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amulung,Cagayan,II,Region II (Cagayan Valley),municipality,21504000,0,2nd,24220,17.833333,121.733333,22521,45182,0.4647,0.2519,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Anahawan,Southern Leyte,VIII,Region VIII (Eastern Visayas),municipality,86401000,0,5th,5809,10.276242,125.2589751,5417,7942,0.2602,0.3912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anao,Tarlac,III,Region III (Central Luzon),municipality,36901000,0,5th,2387,15.728889,120.626111,7045,10873,0.1216,0.0975,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Anda,Bohol,VII,Region VII (Central Visayas),municipality,71203000,0,5th,6189,9.75,124.566667,10439,16909,0.3045,0.3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anda,Pangasinan,I,Region I (Ilocos Region),municipality,15505000,0,3rd,7455,16.283333,119.966667,21869,37011,0.3471,0.1181,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Angadanan,Isabela,II,Region II (Cagayan Valley),municipality,23102000,0,3rd,20440,16.75,121.75,24288,40143,0.3277,0.1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angat,Bulacan,III,Region III (Central Luzon),municipality,31401000,0,1st,7400,14.9380065,121.0208845,34007,55332,0.1081,0.0716,4,1,2,0,2,0,1,0,0,0,0,0,0,0
Angeles City,Pampanga,III,Region III (Central Luzon),city,35401000,0,1st,6027,15.1449853,120.5887029,148843,326336,0.0644,0.0133,103,2,93,0,93,2,5,1,0,0,0,0,0,0
Angono,Rizal,IV - A,Region IV-A (CALABARZON),municipality,45801000,0,1st,2622,14.533333,121.15,65460,102407,0.0145,0.0332,13,1,11,0,11,0,0,1,0,0,0,0,0,0
Anilao,Iloilo,VI,Region VI (Western Visayas) ,municipality,63003000,0,4th,10031,11,122.716667,14452,27486,0.4409,0.2734,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Anini-Y,Antique,VI,Region VI (Western Visayas) ,municipality,60601000,0,4th,6617,10.433333,121.933333,10631,20349,0.3852,0.1846,2,0,1,0,1,0,0,1,0,0,0,0,0,0
Antequera,Bohol,VII,Region VII (Central Visayas),municipality,71204000,0,4th,11860,9.7740668,123.920219,8351,14481,0.2197,0.1845,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Antipas,North Cotabato,XII,Region XII (SOCCSKSARGEN),municipality,124715000,0,2nd,55250,7.25,125.05,14037,25242,0.4414,0.4108,3,0,3,0,3,0,0,0,0,0,0,0,0,0
Apalit,Pampanga,III,Region III (Central Luzon),municipality,35402000,0,1st,6147,14.95,120.766667,51752,101537,0.1514,0.0404,13,2,10,0,10,0,0,1,0,0,0,0,0,0
Aparri,Cagayan,II,Region II (Cagayan Valley),municipality,21505000,0,1st,28664,18.3550839,121.6420059,33560,61199,0.224,0.2185,10,0,9,0,9,0,0,1,0,0,0,0,0,0
Araceli,Palawan,IV - B,Region IV-B (MIMAROPA),municipality,175303000,0,4th,20430,10.5582424,119.950926,7525,14113,0.595,0.2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arakan,North Cotabato,XII,Region XII (SOCCSKSARGEN),municipality,124718000,0,2nd,69322,7.3537668,125.1474451,22548,43554,0.5067,0.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arayat,Pampanga,III,Region III (Central Luzon),municipality,35403000,0,1st,13448,15.1649828,120.780348,50475,121348,0.1623,0.0728,4,0,3,0,3,0,0,1,0,0,0,0,0,0
Argao,Cebu,VII,Region VII (Central Visayas),municipality,72205000,0,1st,19150,9.883333,123.6,42000,69503,0.29,0.2474,5,0,2,0,2,0,2,1,0,0,0,0,0,0
Aringay,La Union,I,Region I (Ilocos Region),municipality,13302000,0,2nd,8454,16.388791,120.3884732,26077,44949,0.3048,0.1462,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Aritao,Nueva Viscaya,II,Region II (Cagayan Valley),municipality,25002000,0,2nd,26560,16.3,121.033333,21140,37115,0.2064,0.1192,6,1,4,0,4,1,0,0,0,0,0,0,0,0
Aroroy,Masbate,V,Region V (Bicol Region),municipality,54101000,0,1st,44030,12.4343877,123.3884924,30530,76139,0.654,0.4325,2,0,0,1,1,0,0,1,0,0,0,0,0,0
Arteche,Eastern Samar,VIII,Region VIII (Eastern Visayas),municipality,82601000,0,3rd,16982,12.266667,125.366667,10415,15164,0.4565,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asingan,Pangasinan,I,Region I (Ilocos Region),municipality,15506000,0,2nd,6664,16,120.666667,35021,56353,0.1723,0.0992,2,0,1,0,1,1,0,0,0,0,0,0,0,0
